id,date,item_id,item_sku,item_name,qty,unit,cost_price,supplier,notes,created_at
in_rep_1_1785854327201,04-08-2026,stk_1,J001,Rice (রাইস),4,packet,2574,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_2_1785854327201,04-08-2026,stk_2,J002,Palm Oil (পাম অয়েল),150,packet,107,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_3_1785854327201,04-08-2026,stk_3,J003,Refined Oil (রেফাইন্ড অয়েল),5,L,120,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_4_1785854327201,04-08-2026,stk_4,J004,Mustard Oil (মাস্টার অয়েল),5,L,180,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_5_1785854327201,04-08-2026,stk_5,J005,Maida (মাইদা),50,kg,36.4,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_6_1785854327201,04-08-2026,stk_6,J006,Atta (আটা),30,kg,44,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_7_1785854327201,04-08-2026,stk_7,J007,Chowmein Noodle (চাউমিন),100,packet,10.4,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_8_1785854327201,04-08-2026,stk_8,J008,Tomato Sauce (টমেটো sos),30,packet,33.6,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_9_1785854327201,04-08-2026,stk_9,J009,Chili Sauce,15,pcs,33.6,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_10_1785854327201,04-08-2026,stk_10,J010,Soy Sauce,4,pcs,65,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_11_1785854327201,04-08-2026,stk_11,J011,Vinegar,10,pcs,45,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_12_1785854327201,04-08-2026,stk_12,J012,Corn Flour,12,kg,62,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_13_1785854327201,04-08-2026,stk_13,J013,Kasuri Methi,120,pcs,12.5,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_14_1785854327201,04-08-2026,stk_14,J014,Chat Masala,20,packet,40,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_15_1785854327201,04-08-2026,stk_15,J015,Kashmiri Chilli Powder,10,pcs,52,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_16_1785854327201,04-08-2026,stk_16,J016,Ajinomoto (Ajina),7,kg,180,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_17_1785854327201,04-08-2026,stk_17,J017,Chilli Powder,80,packet,18.75,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_18_1785854327201,04-08-2026,stk_18,J018,Haldi (Turmeric Powder),50,packet,12.5,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
in_rep_19_1785854327201,04-08-2026,stk_19,J019,Jeera (Cumin Seeds),3000,g,0.23,Egra Supplier,Opening stock balance entry from inventory report,2026-08-04T14:38:54.196Z
