id,action,details,created_at
log_1785845755417_3f97,Cheese Block / Slice (Stock IN (+)),'+1 packet | Manual IN entry recorded for J059,2026-08-04T14:28:30.194Z
log_1785845731929_iwbm,Amul Fresh Cream (Stock IN (+)),'+5 packet | Manual IN entry recorded for J058,2026-08-04T14:28:30.194Z
log_1785845699344_18y7,Butter (Stock IN (+)),'+1 packet | Manual IN entry recorded for J057,2026-08-04T14:28:30.194Z
log_1785845685902_cy0h,Paneer (পনির) (Stock IN (+)),'+150 g | Manual IN entry recorded for J056,2026-08-04T14:28:30.194Z
log_1785845669492_qqmd,Dahi (দই / Curd) (Stock IN (+)),'+4 kg | Manual IN entry recorded for J055,2026-08-04T14:28:30.194Z
log_1785845657305_06wc,Milk (দুধ) (Stock IN (+)),'+2 packet | Manual IN entry recorded for J054,2026-08-04T14:28:30.194Z
log_1785845221844_pica,Dhania (Coriander Seeds) (Stock IN (+)),'+1500 g | Manual IN entry recorded for J051,2026-08-04T14:28:30.194Z
log_1785845191165_93ls,Regular Salt (Stock IN (+)),'+25 pcs | Manual IN entry recorded for J050,2026-08-04T14:28:30.194Z
log_1785845173524_awr6,Black Salt (Bit Nun) (Stock IN (+)),'+2 kg | Manual IN entry recorded for J049,2026-08-04T14:28:30.194Z
log_1785845127594_rpt6,Papad (Stock IN (+)),'+30 packet | Manual IN entry recorded for J046,2026-08-04T14:28:30.194Z
log_1785845084518_v5f6,Mushroom (Stock IN (+)),'+3 box | Manual IN entry recorded for J044,2026-08-04T14:28:30.194Z
log_1785845062330_gcrz,Baking Powder (Stock IN (+)),'+1 box | Manual IN entry recorded for J043,2026-08-04T14:28:30.194Z
log_1785845034211_ltmj,Pure Ghee (Stock IN (+)),'+3 box | Manual IN entry recorded for J042,2026-08-04T14:28:30.194Z
log_1785844998678_4wla,Black Pepper (Gol Morich) (Stock IN (+)),'+900 g | Manual IN entry recorded for J041,2026-08-04T14:28:30.194Z
log_1785844966954_6c0t,Shahi Jeera (Stock IN (+)),'+5 packet | Manual IN entry recorded for J040,2026-08-04T14:28:30.194Z
log_1785844940453_gf20,Rose Petals (Stock IN (+)),'+450 g | Manual IN entry recorded for J039,2026-08-04T14:28:30.194Z
log_1785844920058_7wzv,Starful (Star Anise) (Stock IN (+)),'+500 g | Manual IN entry recorded for J038,2026-08-04T14:28:30.194Z
log_1785844885876_4ani,Dalchini (Cinnamon) (Stock IN (+)),'+500 g | Manual IN entry recorded for J037,2026-08-04T14:28:30.195Z
log_1785844872279_pj32,Jaitri (Mace) (Stock IN (+)),'+450 g | Manual IN entry recorded for J036,2026-08-04T14:28:30.195Z
log_1785844795994_n03j,Long (Cloves) (Stock IN (+)),'+300 g | Manual IN entry recorded for J035,2026-08-04T14:28:30.195Z
log_1785844775201_7e6c,Elachi (Cardamom) (Stock IN (+)),'+700 g | Manual IN entry recorded for J034,2026-08-04T14:28:30.195Z
log_1785844745178_3273,Mogoz (Melon Seeds) (Stock IN (+)),'+500 g | Manual IN entry recorded for J033,2026-08-04T14:28:30.195Z
log_1785844649450_syjn,Kaju (Cashew Nuts) (Stock IN (+)),'+2000 g | Manual IN entry recorded for J032,2026-08-04T14:28:30.195Z
log_1785844583161_am7p,Dalda / Vanaspati (Stock IN (+)),'+12 packet | Manual IN entry recorded for J031,2026-08-04T14:28:30.195Z
log_1785843486631_gqi1,Posto (Poppy Seeds) (Stock IN (+)),'+10 packet | Manual IN entry recorded for J030,2026-08-04T14:28:30.195Z
log_1785843212708_9m3r,Sugar (Stock IN (+)),'+7 g | Manual IN entry recorded for J029,2026-08-04T14:28:30.195Z
log_1785842966840_f1kg,Mouri (Fennel Seeds) (Stock IN (+)),'+1000 g | Manual IN entry recorded for J028,2026-08-04T14:28:30.195Z
log_1785842919808_4rid,Green Food Color (Stock IN (+)),'+2 box | Manual IN entry recorded for J026,2026-08-04T14:28:30.195Z
log_1785842905037_0apr,Yellow Food Color (Stock IN (+)),'+2 box | Manual IN entry recorded for J025,2026-08-04T14:28:30.195Z
log_1785842872337_onpi,Red Food Color (Stock IN (+)),'+4 box | Manual IN entry recorded for J024,2026-08-04T14:28:30.195Z
log_1785842843594_98ll,Attar / Essence (Stock IN (+)),'+6 pcs | Manual IN entry recorded for J023,2026-08-04T14:28:30.195Z
log_1785842820150_o9j3,Mix Dal (Stock IN (+)),'+2000 g | Manual IN entry recorded for J022,2026-08-04T14:28:30.195Z
log_1785842804998_odjh,Kabuli Chana (Stock IN (+)),'+3000 g | Manual IN entry recorded for J021,2026-08-04T14:28:30.195Z
log_1785842787190_8c4w,Dal (Pulses) (Stock IN (+)),'+2000 g | Manual IN entry recorded for J020,2026-08-04T14:28:30.195Z
log_1785842773942_w8pe,Jeera (Cumin Seeds) (Stock IN (+)),'+3000 g | Manual IN entry recorded for J019,2026-08-04T14:28:30.195Z
log_1785842696627_h81s,Haldi (Turmeric Powder) (Stock IN (+)),'+50 packet | Manual IN entry recorded for J018,2026-08-04T14:28:30.195Z
log_1785842648371_ixb4,Chilli Powder (Stock IN (+)),'+80 packet | Manual IN entry recorded for J017,2026-08-04T14:28:30.195Z
log_1785842610506_emlb,Ajinomoto (Ajina) (Stock IN (+)),'+7 kg | Manual IN entry recorded for J016,2026-08-04T14:28:30.195Z
log_1785842596193_ugvh,Kashmiri Chilli Powder (Stock IN (+)),'+10 pcs | Manual IN entry recorded for J015,2026-08-04T14:28:30.195Z
log_1785842577417_q5c5,Chat Masala (Stock IN (+)),'+20 packet | Manual IN entry recorded for J014,2026-08-04T14:28:30.195Z
