id,date,item_id,item_sku,item_name,qty,unit,used_by,notes,created_at
out_1785864757555,04-08-2026,stk_2,J002,Palm Oil (পাম অয়েল),23,packet,,,2026-08-04T17:32:37.555Z
out_1785864785551,04-08-2026,stk_7,J007,Chowmein Noodle (চাউমিন),15,packet,,,2026-08-04T17:33:05.551Z
out_1785864807774,04-08-2026,stk_8,J008,Tomato Sauce (টমেটো sos),4,packet,,,2026-08-04T17:33:27.774Z
out_1785864849200,04-08-2026,stk_13,J013,Kasuri Methi,3,pcs,,,2026-08-04T17:34:09.200Z
out_1785864880360,04-08-2026,stk_12,J012,Corn Flour,1,kg,,,2026-08-04T17:34:40.360Z
out_1785864898797,04-08-2026,stk_16,J016,Ajinomoto (Ajina),2,kg,,,2026-08-04T17:34:58.798Z
out_1785864910178,04-08-2026,stk_3,J003,Refined Oil (রেফাইন্ড অয়েল),1,L,,,2026-08-04T17:35:10.179Z
out_1785864922987,04-08-2026,stk_4,J004,Mustard Oil (মাস্টার অয়েল),1,L,,,2026-08-04T17:35:22.987Z
out_1785864937341,04-08-2026,stk_1,J001,Rice (রাইস),3,packet,,,2026-08-04T17:35:37.341Z
out_1785864959818,04-08-2026,stk_19,J019,Jeera (Cumin Seeds),250,g,,,2026-08-04T17:35:59.818Z
out_1785866784751,04-08-2026,stk_23,J023,Attar / Essence,1,pcs,,,2026-08-04T18:06:24.751Z
out_1785866796854,04-08-2026,stk_6,J006,Atta (আটা),5,kg,,,2026-08-04T18:06:36.854Z
out_1785866830144,04-08-2026,stk_42,J042,Pure Ghee,1,box,,,2026-08-04T18:07:10.144Z
out_1785866843143,04-08-2026,stk_11,J011,Vinegar,1,pcs,,,2026-08-04T18:07:23.143Z
out_1785867036876,04-08-2026,stk_35,J035,Long (Cloves),180,g,,,2026-08-04T18:10:36.876Z
out_1785867077467,04-08-2026,stk_9,J009,Chili Sauce,1,pcs,,,2026-08-04T18:11:17.467Z
out_1785867090073,04-08-2026,stk_15,J015,Kashmiri Chilli Powder,2,pcs,,,2026-08-04T18:11:30.073Z
out_1785867139425,04-08-2026,stk_29,J029,Sugar,2300,kg,,,2026-08-04T18:12:19.426Z
out_1785869180920,04-08-2026,stk_88,J088,Cucumber (শসা),3.3,kg,,,2026-08-04T18:46:20.921Z
out_1785869272602,04-08-2026,stk_83,J083,Tomato (টমেটো),6,kg,,,2026-08-04T18:47:52.602Z
out_1785869327618,04-08-2026,stk_80,J080,Carrot,2.4,kg,,,2026-08-04T18:48:47.618Z
out_1785869410738,04-08-2026,stk_79,J079,Capsicum,2.6,kg,,,2026-08-04T18:50:10.738Z
out_1785869437894,04-08-2026,stk_84,J084,Cabbage (বাঁধাকপি),5.2,kg,,,2026-08-04T18:50:37.894Z
out_1785869481457,04-08-2026,stk_82,J082,Green Chilli (কাঁচা লঙ্কা),1,kg,,,2026-08-04T18:51:21.457Z
out_1785869542266,04-08-2026,stk_75,J075,Potato (আলু),14,kg,,,2026-08-04T18:52:22.266Z
out_1785869570672,04-08-2026,stk_76,J076,Onion (পেঁয়াজ),17.5,kg,,,2026-08-04T18:52:50.672Z
out_1785870005389,04-08-2026,stk_54,J054,Milk (দুধ),5,packet,,,2026-08-04T19:00:05.389Z
out_1785870140163,04-08-2026,stk_55,J055,Dahi (দই / Curd),16,kg,,,2026-08-04T19:02:20.163Z
